Absolute performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
            sbbNC  couenneNCcbc  SHOTcpx1910  baronNC  aecpNC  bbbNCcbc  gurobi  scipNCsoplex  SHOTcbc1910  dicoptNC  antigoneNC  lglobal  SHOTgur2310  virt. best  virt. worst
14.293350      67             7           55       41      59        52      64            26           44        76          21        9           58          77            2
14.384359      67             7           55       41      59        52      64            26           44        76          21        9           59          77            2
14.475368      67             7           55       41      59        52      64            26           44        76          21        9           59          77            2
14.566376      67             7           56       41      59        52      64            26           44        76          21        9           59          77            2
14.657385      67             7           56       41      59        52      64            26           44        76          21        9           59          77            2
14.748393      67             7           56       41      59        52      64            26           44        76          21        9           59          77            2
14.839402      67             7           56       41      59        52      64            26           44        76          21        9           59          77            2
14.930411      67             7           56       41      59        52      64            26           44        76          21        9           59          77            2
15.021419      67             7           56       41      59        52      65            26           44        76          21        9           59          77            2
15.112428      67             7           57       42      59        52      65            26           44        76          21        9           59          77            2
15.203436      67             7           58       42      59        52      65            26           44        76          21        9           59          77            2
15.294445      67             7           58       42      59        52      65            26           44        76          21        9           59          77            2
15.385454      67             7           59       42      59        52      65            26           44        76          21        9           59          77            2
15.476462      67             7           59       42      59        52      65            26           44        76          21        9           59          77            2
15.567471      67             7           59       42      59        52      65            26           46        76          21        9           59          77            2
15.658479      67             7           59       42      59        52      65            26           46        76          21        9           59          77            2
15.749488      67             7           59       43      59        52      65            26           46        76          21        9           59          77            2
15.840497      67             7           59       43      59        52      65            26           46        76          21        9           59          77            2
15.931505      67             7           59       43      59        52      65            26           46        76          21        9           59          77            2
16.022514      67             7           59       44      59        52      65            26           46        76          21        9           59          77            2
16.113522      67             7           59       44      59        52      65            26           46        76          21        9           59          77            2
16.204531      67             7           59       45      59        52      65            26           46        76          21        9           59          77            2
16.295540      67             7           59       45      59        52      65            26           46        76          21        9           59          77            2
16.386548      67             7           59       45      59        52      65            26           46        76          21        9           59          77            2
16.477557      67             7           59       45      59        52      65            26           46        76          21        9           59          77            2
16.568565      67             7           59       45      59        52      65            26           46        76          21        9           59          77            2
16.659574      67             7           59       45      59        52      65            26           46        76          21        9           59          77            2
16.750583      67             7           59       45      59        52      65            26           46        76          21        9           60          77            2
16.841591      67             7           59       46      59        52      65            26           46        76          21        9           60          77            2
16.932600      67             7           59       46      59        52      65            26           46        76          21        9           60          77            2
17.023608      67             7           60       46      59        53      65            26           46        76          21        9           60          77            2
17.114617      67             7           60       46      59        53      65            26           46        76          21        9           60          77            2
17.205626      67             7           60       46      59        53      65            26           46        76          21        9           60          77            2
17.296634      67             7           60       46      59        53      65            26           46        76          21        9           60          77            2
17.387643      67             7           60       46      59        53      65            26           46        76          21        9           60          77            2
17.478651      67             7           60       46      59        53      65            26           46        76          21        9           60          77            2
17.569660      67             7           61       46      59        53      65            26           46        76          21        9           60          77            2
17.660669      67             7           61       46      59        53      65            26           46        76          21        9           60          77            2
17.751677      68             7           61       46      59        53      65            26           46        76          21        9           60          78            2
17.842686      68             7           61       46      59        53      65            26           46        76          21        9           60          78            2
17.933694      68             7           61       46      59        53      65            26           46        76          21        9           60          78            2
18.024703      68             7           61       46      59        53      65            26           46        76          21        9           60          78            2
18.115712      68             7           61       46      59        53      65            26           46        76          21        9           60          78            2
18.206720      68             7           61       46      59        53      65            26           46        76          21        9           60          78            2
18.297729      68             7           61       47      59        53      65            26           46        76          21        9           60          78            2
18.388737      68             7           61       47      59        53      65            26           46        76          21        9           60          78            2
18.479746      68             7           61       47      59        53      65            26           48        76          21        9           60          78            2
18.570755      68             7           61       48      59        53      65            26           48        76          21        9           60          78            2
18.661763      68             7           61       48      59        53      65            26           48        76          21        9           60          78            2
18.752772      68             7           61       48      59        53      65            26           48        76          21        9           60          78            2
18.843780      68             7           61       48      59        53      65            26           48        76          21        9           60          78            2
18.934789      68             7           62       48      59        53      65            26           48        76          21        9           60          78            2
19.025798      68             7           62       48      59        53      65            26           48        76          22        9           60          78            2
19.116806      68             7           63       48      59        54      65            26           48        76          22        9           60          78            2
19.207815      68             7           63       48      59        54      65            26           48        76          22        9           60          78            2
19.298823      68             7           63       48      59        54      65            26           48        76          22        9           60          78            2
19.389832      68             7           63       48      59        54      65            26           48        76          22        9           60          78            2
19.480841      68             7           63       48      59        54      65            26           48        76          22        9           60          78            2
19.571849      68             7           63       48      59        55      65            26           48        76          22        9           60          78            2
19.662858      68             7           63       48      59        55      65            26           48        76          22        9           60          78            2
19.753866      68             7           63       48      59        55      65            26           48        76          22        9           60          78            2
19.844875      68             7           63       48      59        55      65            26           48        76          22        9           60          78            2
19.935884      68             7           63       48      59        55      65            26           48        76          22        9           60          78            2
20.026892      68             7           63       48      59        55      65            26           49        76          22        9           60          78            2
20.117901      68             7           63       48      59        55      65            26           49        76          22        9           60          78            2
20.208909      68             7           63       48      59        55      65            26           49        76          22        9           60          78            2
20.299918      68             7           63       48      59        55      65            26           49        76          22        9           60          78            2
20.390927      68             7           63       48      59        55      65            26           49        76          22        9           60          78            2
20.481935      68             7           63       48      59        55      65            26           49        76          22        9           60          78            2
20.572944      68             7           63       48      59        55      65            26           49        76          22        9           60          78            2
20.663952      68             7           63       48      59        55      65            26           49        76          22        9           60          78            2
20.754961      68             7           63       48      60        55      65            26           49        76          22        9           60          78            2
20.845970      68             7           63       48      60        55      65            26           49        76          22        9           60          78            2
20.936978      68             7           63       48      61        55      65            26           49        76          22        9           60          78            2
21.027987      68             7           63       48      61        55      65            26           49        76          23        9           60          78            2
21.118995      68             7           63       48      61        55      65            26           49        76          23        9           60          78            2
21.210004      68             7           64       48      61        56      65            26           49        76          23        9           60          78            3
21.301013      68             7           64       48      61        56      65            26           49        76          23        9           60          78            3
21.392021      68             7           64       48      61        56      65            26           49        76          23        9           60          78            3
21.483030      68             7           64       48      61        56      65            26           49        76          23        9           60          78            3
21.574038      68             7           64       49      61        56      65            26           49        76          23        9           60          78            3
21.665047      68             7           64       49      62        56      65            26           49        76          23        9           61          78            3
21.756056      68             7           64       49      62        56      65            26           49        76          23        9           61          78            3
21.847064      68             7           64       49      62        56      65            26           49        76          23        9           61          78            3
21.938073      68             7           64       49      62        56      65            26           49        76          23        9           61          78            3
22.029081      68             7           64       49      62        56      65            26           49        76          23        9           61          78            3
22.120090      68             7           64       49      62        56      65            26           49        76          23        9           61          78            3
22.211099      68             7           65       49      62        56      65            26           49        76          23        9           61          78            3
22.302107      68             7           65       50      62        56      65            26           49        76          23        9           61          78            3
22.393116      68             8           65       50      62        56      65            26           49        76          23        9           61          78            3
22.484124      68             8           65       50      62        56      65            26           49        76          23        9           61          78            3
22.575133      69             8           65       50      62        56      65            26           49        76          23        9           61          78            3
22.666142      69             8           65       50      62        56      65            26           49        76          23        9           61          78            3
22.757150      69             9           65       50      62        56      65            26           49        76          23        9           61          78            3
22.848159      69             9           65       50      62        56      65            26           49        76          23        9           61          78            3
22.939167      69             9           65       50      62        56      65            26           49        76          23        9           61          78            3
23.030176      69             9           65       50      62        56      65            26           49        76          23        9           61          78            3
23.121185      69             9           65       50      62        56      65            26           49        76          23        9           61          78            3
