                           SHOTcpx1910nrnc SHOTcpx1910noref SHOTcpx1910 SHOTcpx1910rcnoref virt. worst
super1                               1.00=            1.00=       1.00=              1.00=       1.00=
supplychainp1_020306                 1.00=            1.00=       1.00=              1.00=       1.00=
supplychainp1_022020                 1.00=            1.00=      10.27-             10.27-      10.27-
supplychainp1_030510                 1.00=            1.00=       1.00=              1.00=       1.00=
supplychainr1_020306                 1.00=            1.00=       1.00=              1.00=       1.00=
supplychainr1_022020                 1.00=            1.00=       1.00=              1.00=       1.00=
supplychainr1_030510                 1.00=            1.00=       1.00=              1.00=       1.00=
supplychainr1_053050                 1.00=            1.00=      31.31-             50.18-      50.18-
supplychain                          1.00=            1.00=       1.00=              1.00=       1.00=
synheat                              1.00=            1.00=       1.00=              1.00=       1.00=
telecomsp_njlata                     1.00=       210009.00-       1.00=         210018.00-  210018.00-
telecomsp_pacbell                    1.00=       259636.00-       1.00=         258909.00-  259636.00-
tln12                                1.00=            1.00=       1.00=              1.00=       1.00=
tln2                                 1.00=            1.00=       1.00=              1.00=       1.00=
tln4                                 1.00=            1.00=       1.00=             29.00-      29.00-
tln5                                 1.00=            1.00=       1.00=         150214.00-  150214.00-
tln6                                 1.00=            1.00=       1.00=              1.00=       1.00=
tln7                                 1.00=            1.00=       1.00=              1.00=       1.00=
tloss                                1.00=         6742.00-       1.00=         100205.00-  100205.00-
tltr                                 1.00=            1.00=       1.00=              1.00=       1.00=
tspn05                               1.00=            1.00=       1.00=              1.00=       1.00=
tspn08                               1.00=            1.00=       1.00=              1.00=       1.00=
tspn15                               1.00=            1.00=       1.00=              1.00=       1.00=
unitcommit2                          1.00=            2.18-       1.05=              2.17-       2.18-
unitcommit_200_0_5_mod_7             1.05=            1.04=       1.00=              1.05=       1.05=
unitcommit_200_100_2_mod_7           1.10=            1.10=       1.00=              1.10=       1.10=
util                                 1.00=            1.00=       5.39-              5.39-       5.39-
wager                              105.00-            1.00=     188.00-              1.00=     188.00-
wastepaper3                       1678.00-            1.00=    8564.00-              1.00=    8564.00-
wastepaper4                       9193.00-            1.00=   33894.00-              1.00=   33894.00-
waste                                1.00=            1.00=       1.00=              1.00=       1.00=
waternd1                             1.00=            1.00=       1.00=              1.00=       1.00=
waternd2                             1.00=            1.00=       1.00=              1.00=       1.00=
watertreatnd_conc                    1.00=            1.00=       2.00-              2.00-       2.00-
watertreatnd_flow                    1.00=            1.00=       1.00=              1.00=       1.00=
