                         aecp.1  aoa.0  baron  boa.1  dicopt.1  minotaur.0   sbb.1  scip.1   shot.1  virt. best  virt. worst
smallinvDAXr5b200-220         -      -     18      1         -           1     175       1       84         1.0            -
smallinvSNPr1b010-011         -      -      1      1         -           1      51    1292        1         1.0            -
smallinvSNPr1b020-022         -      -      5      1         -           1     207   39299        6         1.0            -
smallinvSNPr1b050-055         -      -      5      1         -           1     183  125053      135         1.0            -
smallinvSNPr1b100-110         -      -      7      1         -           1      75   11542       73         1.0            -
smallinvSNPr1b150-165         -      -     30      1         -           1     164  121689       74         1.0            -
smallinvSNPr1b200-220         -      -      9      1         -           1      73   99146      132         1.0            -
smallinvSNPr2b010-011         -      -      1      1         -           1      56     213        1         1.0            -
smallinvSNPr2b020-022         -      -      5      1         -           1     204   30607       21         1.0            -
smallinvSNPr2b050-055         -      -      9      1         -           1     139  181177        1         1.0            -
smallinvSNPr2b100-110         -      -     35      1         -           1     603   13795      116         1.0            -
smallinvSNPr2b150-165         -      -     19      1         -           1     126   10242       75         1.0            -
smallinvSNPr2b200-220         -      -   3136      1         -           1     238   12995       64         1.0            -
smallinvSNPr3b010-011         -      -      3      1         -           1     139      77       21         1.0            -
smallinvSNPr3b020-022         -      -      1      1         -           1       8    1628        2         1.0            -
smallinvSNPr3b050-055         -      -      3      1         -           1      95   43404       64         1.0            -
smallinvSNPr3b100-110         -      -     17      1         -           1     134   26818      116         1.0            -
smallinvSNPr3b150-165         -      -     15      1         -           1      97   15605       74         1.0            -
smallinvSNPr3b200-220         -      -      5      1         -           1     154   22508        3         1.0            -
smallinvSNPr4b010-011         -      -     23      1         -           1     390     516       87         1.0            -
smallinvSNPr4b020-022         -      -      1      1         -           1      32     191        1         1.0            -
smallinvSNPr4b050-055         -      -      5      1         -           1     205    7515       81         1.0            -
smallinvSNPr4b100-110         -      -      3      1         -           1     168   26910       18         1.0            -
smallinvSNPr4b150-165         -      -      5      1         -           1      76   17123       21         1.0            -
smallinvSNPr4b200-220         -      -      5      1         -           1      37    6358        1         1.0            -
smallinvSNPr5b010-011         -      -      9      1         -           1     290     125      152         1.0            -
smallinvSNPr5b020-022         -      -      5      1         -           1      62     237        7         1.0            -
smallinvSNPr5b050-055         -      -      5      1         -           1     100    5133        1         1.0            -
smallinvSNPr5b100-110         -      -     19      1         -           1     242    2920        9         1.0            -
smallinvSNPr5b150-165         -      -      7      1         -           1     228   17096       12         1.0            -
smallinvSNPr5b200-220         -      -   2204      1         -           1      41    8790        1         1.0            -
squfl010-025                  -      -     23      1         -           1     151     118        1         1.0            -
squfl010-040                  -      -     11      1         -           1     114      66        1         1.0            -
squfl010-080                  -      -     33    870         -           1     405      56        1         1.0            -
squfl015-060                  -      -     31   4820         -           1    1936      62        1         1.0            -
squfl015-080                  -      -     59  20527         -           1    3202      81        1         1.0            -
squfl020-040                  -      -     39   6701         -           1     751      59        1         1.0            -
squfl020-050                  -      -     61  29494         -           1    3701      44        1         1.0            -
squfl020-150                  -      -    115   4027         -           1    4825      28        1         1.0            -
squfl025-040                  -      -    193  32799         -           1    9654     195        1         1.0            -
squfl030-100                  -      -    141   4584         -           1    6480     131        1         1.0            -
squfl030-150                  -      -     87   1604         -           1    2009       1        1         1.0            -
squfl040-080                  -      -    257   3779         -           1    7018      41        1         1.0            -
sssd08-04                     -      -     20      1         -           1  203807     606      924         1.0            -
st_test1                      -      -      1      1         -           1      14       1        1         1.0            -
st_testgr1                    -      -      5      1         -           1      85       1        1         1.0            -
st_testgr3                    -      -      1      1         -           1     249       1        1         1.0            -
syn10m04m                     -      -      1      1         -           1    5751       1        1         1.0            -
syn15m04m                     -      -      1      1         -           1   11880       1        1         1.0            -
syn20m02m                     -      -      1      1         -           1   81666       1        1         1.0            -
