Absolute performance profile for Gap
Filter: no fail
          Scb2804m  Scp2804m  Scp2804nq  Scp2804nqm  Scp2804nqme  Scp2804nqmopt  Scp2804nqmoptsp  Scp2804nqmsp  Scp2804nref  Scp2804s  Scp2804st1  Scp2804st4  Sgb2804s  virt. best  virt. worst
0.036226       336       392        371         375          375            372              365           372          354       392         390         391       384         397          294
0.036448       336       392        371         375          375            372              365           372          354       392         390         391       384         397          294
0.036671       336       392        371         375          375            372              365           372          354       392         390         391       384         397          294
0.036893       336       392        371         375          375            372              365           372          354       392         390         391       384         397          294
0.037115       336       392        371         375          375            372              365           372          354       392         390         391       384         397          294
0.037337       336       392        371         375          375            372              365           372          354       392         390         391       384         397          294
0.037560       336       392        371         375          375            372              365           372          354       392         390         391       384         397          294
0.037782       336       392        371         375          375            372              365           372          354       392         390         391       384         397          294
0.038004       336       393        371         376          375            372              365           373          355       392         390         391       384         397          295
0.038226       336       393        371         376          375            372              365           373          355       392         390         391       384         397          295
0.038449       336       393        371         376          375            372              365           373          355       392         390         391       384         397          295
0.038671       337       393        371         376          375            372              365           373          355       392         390         391       384         397          295
0.038893       337       393        371         376          375            372              365           373          355       392         391         391       384         397          296
0.039115       337       393        371         376          375            372              365           373          355       392         391         391       384         397          296
0.039338       337       393        371         376          375            372              365           373          355       392         391         391       384         397          296
0.039560       337       393        371         376          375            372              365           373          355       392         391         391       384         397          296
0.039782       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.040004       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.040227       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.040449       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.040671       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.040893       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.041116       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.041338       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.041560       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.041782       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.042005       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.042227       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.042449       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.042671       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.042894       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.043116       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.043338       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.043560       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.043783       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.044005       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.044227       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.044449       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.044672       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.044894       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.045116       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.045338       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.045561       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.045783       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.046005       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.046227       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.046450       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.046672       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.046894       338       393        371         376          375            372              365           373          355       392         391         391       384         397          297
0.047116       338       393        371         376          375            372              365           373          356       392         391         391       384         397          297
0.047339       338       393        371         376          375            372              365           373          356       392         391         391       384         397          297
0.047561       338       393        371         376          375            372              365           373          356       392         391         391       384         397          297
0.047783       338       393        371         376          375            372              365           373          356       392         391         391       384         397          297
0.048005       338       393        371         376          375            372              365           373          356       392         391         391       384         397          297
0.048228       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.048450       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.048672       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.048894       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.049117       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.049339       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.049561       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.049783       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.050006       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.050228       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.050450       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.050672       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.050895       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.051117       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.051339       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
0.051561       338       393        371         376          375            372              366           373          356       392         391         391       384         397          297
