                       Scb2804m  boaos   scip  virt. best  virt. worst
syn30m02hfsg                  1      1      1           1            1
syn30m02h                     1      1      3           1            3
syn30m03hfsg                  6      1      5           1            6
syn30m03h                     3      1     10           1           10
syn30m04hfsg                 11      1      7           1           11
syn30m04h                     3      1     28           1           28
syn30m                        2      1      1           1            2
syn40hfsg                    14      1      1           1           14
syn40h                        9      1      3           1            9
syn40m02hfsg                 23      1      1           1           23
syn40m02h                    18      1      1           1           18
syn40m02m                    85      1      1           1           85
syn40m03hfsg                 50      1      1           1           50
syn40m03h                    20      1      5           1           20
syn40m04hfsg                 53      1      1           1           53
syn40m04h                    27      1      1           1           27
syn40m04m                   513      1     45           1          513
syn40m                       28      1      1           1           28
synthes1                      1      1      1           1            1
synthes2                      1      1      1           1            1
synthes3                      1      1      3           1            3
tls2                         14      1      1           1           14
unitcommit1                   1      1      1           1            1
