                          Scb2804m   boaos      scip  virt. best  virt. worst
syn20h                           1       9       640           1          640
syn20m02hfsg                     1       9       713           1          713
syn20m02h                        1       9       298           1          298
syn20m02m                        1       2      2654           1         2654
syn20m03hfsg                     1       9      1935           1         1935
syn20m03h                        1      19       428           1          428
syn20m03m                        1       8      5210           1         5210
syn20m04hfsg                     1      10      2469           1         2469
syn20m04h                        1      26       587           1          587
syn20m04m                        1       5      7060           1         7060
syn20m                           1       3       668           1          668
syn30hfsg                        1       8      1652           1         1652
syn30h                           1      17      1643           1         1643
syn30m02hfsg                     1      26      6213           1         6213
syn30m02h                        1      30      5407           1         5407
syn30m03hfsg                     1      33     11760           1        11760
syn30m03h                        1      27      8671           1         8671
syn30m04hfsg                     1      41     17968           1        17968
syn30m04h                        1      45      7671           1         7671
syn30m                           1       3      1582           1         1582
syn40hfsg                        1      14      3418           1         3418
syn40h                           1      28      2576           1         2576
syn40m02hfsg                     1      34     16595           1        16595
syn40m02h                        1      87      8250           1         8250
syn40m02m                        1       3     10429           1        10429
syn40m03hfsg                     1      60     19715           1        19715
syn40m03h                        1      49     16383           1        16383
syn40m04hfsg                     1      58     19703           1        19703
syn40m04h                        1      60     25099           1        25099
syn40m04m                        1       1     17422           1        17422
syn40m                           1       2      1780           1         1780
synthes1                         1       1        74           1           74
synthes2                         1       1        75           1           75
synthes3                         1       1       377           1          377
tls12                            1       1   5643950           1      5643950
tls2                             1       1       137           1          137
tls4                             1       1     79350           1        79350
tls5                             1       1   4743320           1      4743320
tls6                             1       1   5359332           1      5359332
tls7                             1       1   3667794           1      3667794
unitcommit1                      1       1      7839           1         7839
unitcommit_50_20_2_mod_8         1       1    174288           1       174288
watercontamination0202r          1      17   1101534           1      1101534
watercontamination0202           1     768   1947081           1      1947081
watercontamination0303r          1      53    334348           1       334348
