                         AOA.0 Pajarito.0   aecp.1 antigone    baron    bbb.3   bhyb.2    boa.1 couenne.1 dicopt.1 juniper.0   knitro  lindo.1 mtaurbnbcpx.0 mtaurqgcpx.0    sbb.1   scip.1   shot.1 virt. worst
ball_mk2_10              1.14=     73.89-   65.02-    1.00=    1.00=   39.95-    9.94-   69.91-     1.00=  900.00-     7.92-    1.00=    1.00=         1.00=        1.00=    2.44-    1.00=    1.18=     900.00-
ex1223b                  1.00=      1.00=    1.00=    1.00=    1.00=    1.00=  900.00-    3.97-     1.00=    1.00=     1.00=    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
ex1223                   1.00=      1.00=    1.00=    1.00=    1.00=    1.00=    1.79=    4.95-     1.00=    1.00=     1.00=    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=       4.95-
fac1                     1.00=    900.00-    1.00=    1.00=    1.00=    1.00=    2.30-    3.42-     1.00=    1.00=     6.83-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
fac2                     1.00=    900.00-    1.00=    1.00=    1.00=    1.00=    6.29-   12.18-   137.61-    1.00=   900.00-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
fac3                     1.00=    900.00-    1.00=   55.91-    1.00=    1.00=    4.52-   10.78-   900.00-    1.00=     3.20-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
ibs2                     1.36-      1.36-    1.36-    1.36-    1.36-    1.36-    1.36-    1.36-     1.00=    1.36-     1.36-    1.36-    1.36-         1.36-        1.36-    1.36-    1.36-    1.36-       1.36-
nvs03                    1.00=      1.00=    1.00=    1.00=    1.00=    1.00=    1.00=    1.00=     1.00=    1.00=     3.71-    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=       3.71-
nvs10                    1.00=      1.00=    1.00=    1.00=    1.00=    1.00=    1.02=  900.00-     1.00=    1.00=     1.35=    1.00=  900.00-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
nvs11                    1.00=      1.00=    1.00=    1.00=    1.00=    1.00=  900.00-  900.00-     1.00=    1.00=     1.38=    1.00=  900.00-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
nvs12                    1.00=      1.00=    1.00=    1.00=    1.00=    1.00=    1.17=  900.00-     1.00=    1.00=     1.47=    1.00=  900.00-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
nvs15                    1.00=    900.00-    1.00=    1.00=    1.00=    1.00=    1.08=    1.53=     1.00=    1.00=     1.00=    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr1b010-011    1.00=      1.91=    2.15-  722.46-    1.40=    1.00=    1.00=    3.03-   900.00-    5.29-    10.08-    1.00=    8.11-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr1b020-022    1.00=    900.00-    1.83=  311.64-    1.42=    1.00=   18.90-    6.03-   900.00-   15.68-     4.34-    1.00=    8.06-         1.00=        1.72=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr1b050-055    1.00=    900.00-    1.11=  255.16-    3.44-    1.23=  111.01-    5.70-   900.00-   17.16-     3.45-    1.00=    8.34-         1.00=        4.89-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr1b100-110    1.00=    900.00-    1.43=  742.73-    1.26=    1.29=  828.15-    7.59-   900.00-   29.81-     5.36-    1.00=    8.58-         1.32=       10.20-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr1b150-165    1.00=    900.00-    4.58-  550.66-    1.15=    1.18=  371.27-    6.51-   900.00-   19.74-     4.99-    1.00=    8.43-         3.14-        9.38-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr1b200-220    1.00=    900.00-    1.30=  176.08-   16.30-    1.29=  255.99-    5.35-   900.00-   14.25-     4.05-    1.00=    8.69-         1.45=       35.09-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr2b010-011    1.00=      1.70=    2.65-  598.20-    1.41=    1.00=    2.29-    3.18-   900.00-    6.82-     3.44-    1.00=    8.41-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr2b020-022    1.00=    900.00-    4.07-  669.25-    1.30=    1.00=    7.72-    5.54-   900.00-   22.81-     4.45-    1.00=  900.00-         1.00=        1.77=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr2b050-055    1.00=    900.00-    1.16=  442.29-    1.57=    1.23=  900.00-    5.68-   900.00-   17.52-     3.33-    1.00=    8.50-         1.00=        3.55-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr2b100-110    1.00=    900.00-    2.08-  241.39-    1.07=    1.32=   40.64-    7.66-   900.00-   57.39-     5.61-    1.00=    8.02-         1.37=        7.79-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr2b150-165    1.00=    900.00-    4.54-  636.29-    1.15=    2.16-  900.00-    3.74-   900.00-   11.98-     5.31-    1.00=    8.43-         3.03-        9.54-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr2b200-220    1.00=    900.00-    1.27=  336.08-    8.97-    1.30=   20.15-    2.21-   900.00-   12.70-     3.93-    1.00=    8.94-         1.43=       32.71-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr3b010-011    1.00=      1.95=    1.00=  642.32-    1.41=    1.00=    1.27=    3.37-   900.00-    5.65-     3.32-    1.00=    8.24-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr3b020-022    1.00=    900.00-    3.46-  541.09-    1.84=    1.00=   25.30-    5.59-   900.00-   17.34-     4.56-    1.00=    8.00-         1.00=        1.48=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr3b050-055    1.00=    900.00-    1.18=  360.29-    1.83=    1.21=  900.00-    7.28-   900.00-   20.52-     3.32-    1.00=    8.26-         1.00=        3.73-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr3b100-110    1.00=    900.00-    6.27-  243.93-    3.52-    1.29=   15.13-    4.91-   900.00-   23.75-     6.25-    1.00=    8.30-         1.36=        6.46-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr3b150-165    1.00=    900.00-    3.85-  351.03-    1.60=    2.17-    1.40=    4.93-   900.00-   19.25-     5.07-    1.00=    8.16-         3.03-       10.59-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr3b200-220    1.00=    900.00-    1.74=  556.41-    1.04=    1.29=  900.00-    5.49-   900.00-   11.23-     4.18-    1.00=    8.72-         1.49=       35.05-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr4b010-011    1.00=      2.07-    1.50=  899.92-    1.42=    1.00=    1.25=    3.21-   900.00-    6.56-     3.18-    1.00=    6.76-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr4b020-022    1.00=    900.00-    1.00=  727.66-    1.77=    1.00=   13.42-    6.21-   900.00-   13.38-     4.68-    1.00=    8.25-         1.00=        1.78=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr4b050-055    1.00=    900.00-    1.54=  451.50-    2.19-    1.25=  900.00-    7.38-   900.00-   16.31-     3.41-    1.00=    7.99-         1.00=        3.93-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr4b100-110    1.00=    900.00-    5.59-  183.72-    3.02-    1.33=  105.22-    7.92-   900.00-   42.63-     6.06-    1.00=    8.41-         1.39=        6.08-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr4b150-165    1.00=    900.00-    4.12-  313.05-    1.05=    2.46-  353.70-    2.88-   900.00-   11.68-     4.68-    1.00=    8.59-         3.01-       10.04-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr4b200-220    1.00=    900.00-    1.38=  709.52-    7.90-    1.34=   25.15-    6.15-   900.00-    6.96-     4.58-    1.00=    8.47-         1.41=       29.32-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr5b010-011    1.00=    900.00-    1.59=  531.52-    1.42=    1.04=    1.70=    3.30-   900.00-    5.84-     3.62-    1.00=    7.89-         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr5b020-022    1.00=    900.00-    1.00=  598.84-    1.81=    1.00=    7.12-    7.38-   900.00-   23.27-     4.31-    1.00=  900.00-         1.00=        1.26=    1.00=    1.00=    1.00=     900.00-
smallinvDAXr5b050-055    1.00=    900.00-    1.11=  501.65-    2.23-    1.25=  232.65-    7.60-   900.00-   14.80-     3.31-    1.00=  900.00-         1.00=        5.10-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr5b100-110    1.00=    900.00-    6.48-  251.90-    2.09-    1.47=  900.00-   12.16-   900.00-   50.19-     5.33-    1.00=    5.43-         1.39=        7.90-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr5b150-165    1.00=    900.00-    4.04-  432.63-    1.88=    2.21-   55.77-    4.22-   900.00-    7.60-     4.71-    1.00=    8.34-         3.02-       11.87-    1.00=    1.00=    1.00=     900.00-
smallinvDAXr5b200-220    1.00=    900.00-    1.37=  868.86-    1.25=    1.53=  900.00-    3.41-   900.00-   13.14-     3.98-    1.00=    8.59-         1.46=       28.78-    1.00=    1.00=    1.00=     900.00-
smallinvSNPr1b010-011    1.00=      1.00=    1.00=  900.00-   19.15-    2.92-    1.00=    1.00=   900.00-    1.00=   900.00-    1.39=    1.00=         1.79=        1.00=    1.00=    6.80-    2.54-     900.00-
smallinvSNPr1b020-022    1.00=      1.00=    1.00=  900.00-   97.60-   18.15-    1.00=    1.00=   900.00-    1.00=   900.00-    4.54-    1.00=        13.07-        1.00=    1.00=  134.90-    3.37-     900.00-
smallinvSNPr1b050-055    1.00=      1.00=    1.00=  900.00-   74.79-   14.03-    1.00=    1.00=   900.00-    1.00=   900.00-    2.92-    1.00=         8.34-        1.00=    1.00=  900.00-    3.42-     900.00-
smallinvSNPr1b100-110    1.00=      1.53=    1.00=  591.42-   81.12-    2.21-  900.00-    1.00=   900.00-    1.00=   900.00-    1.55=    1.00=         2.19-        1.00=    1.00=  900.00-    3.43-     900.00-
smallinvSNPr1b150-165    1.00=      1.00=    1.00=  472.28-  110.52-    4.51-    4.69-    1.00=   900.00-    1.00=   900.00-    1.72=    1.00=        20.94-        1.00=    1.00=  900.00-    3.43-     900.00-
smallinvSNPr1b200-220    1.00=    900.00-    1.00=  719.21-   98.15-    1.38=    4.55-    1.00=   900.00-    1.00=   900.00-    1.00=    1.00=         2.11-        1.00=    1.00=  900.00-    3.46-     900.00-
smallinvSNPr2b010-011    1.00=      1.00=    1.00=  292.19-   21.77-    2.73-    1.00=    1.00=   900.00-    1.00=   900.00-    1.00=    1.00=         1.54=        1.00=    1.00=    3.49-    2.53-     900.00-
smallinvSNPr2b020-022    1.00=      1.00=    1.00=  899.93-   76.54-    4.59-  900.00-    1.00=   900.00-    1.00=   900.00-    2.17-    1.00=         2.83-        1.00=    1.00=  102.73-    2.53-     900.00-
smallinvSNPr2b050-055    1.00=      1.00=    1.00=  838.74-   80.39-    6.11-    1.00=    1.00=   900.00-    1.00=   900.00-    1.68=    1.00=         4.28-        1.00=    1.00=  900.00-    2.57-     900.00-
smallinvSNPr2b100-110    1.00=      1.08=    1.00=  682.40-   70.58-   18.40-    1.00=    1.00=   900.00-    1.00=   900.00-    7.77-    1.00=        22.23-        1.00=    2.56-  900.00-    3.42-     900.00-
smallinvSNPr2b150-165    1.00=      1.04=    1.00=  435.40-  126.67-    3.79-    1.00=    1.00=   900.00-    1.00=   900.00-    1.33=    1.00=         2.88-        1.00=    1.00=  900.00-    3.41-     900.00-
smallinvSNPr2b200-220    1.00=      1.10=    1.00=  498.31-  900.00-    8.20-    1.00=    1.00=   900.00-    1.00=   900.00-    3.43-    1.00=        23.54-        1.00=    1.11=  900.00-    3.45-     900.00-
smallinvSNPr3b010-011    1.00=      1.00=    1.00=  239.62-   44.40-    3.49-  900.00-    1.00=   900.00-    1.00=   900.00-    1.00=    1.00=         3.59-        1.00=    1.00=    2.61-    3.38-     900.00-
smallinvSNPr3b020-022    1.00=      1.00=    1.00=   81.19-   90.49-    1.00=    1.00=    1.00=   900.00-    1.00=   900.00-    1.00=    1.00=         1.00=        1.00=    1.00=   10.51-    3.42-     900.00-
smallinvSNPr3b050-055    1.00=      1.00=    1.00=  900.00-   58.96-    1.67=  900.00-    1.00=   900.00-    1.00=   900.00-    1.32=    1.00=         2.22-        1.00=    1.00=  244.23-    3.39-     900.00-
smallinvSNPr3b100-110    1.00=    900.00-    1.00=  885.22-   70.90-    5.11-    4.55-    1.00=   900.00-    1.00=   900.00-    2.18-    1.00=         7.64-        1.00=    1.00=  900.00-    3.50-     900.00-
smallinvSNPr3b150-165    1.00=      1.19=    1.00=  364.00-  119.40-    6.82-    4.38-    1.00=   900.00-    1.00=   900.00-    1.70=    1.00=         3.47-        1.00=    1.00=  900.00-    3.48-     900.00-
smallinvSNPr3b200-220    1.00=    900.00-    1.00=  456.57-   72.04-    6.69-    1.00=    1.00=   900.00-    1.00=   900.00-    2.08-    1.00=         5.61-        1.00=    1.00=  900.00-    2.57-     900.00-
smallinvSNPr4b010-011    1.00=      1.76=    1.00=  900.00-   50.32-   16.26-    1.28=    1.00=   900.00-    1.00=   900.00-    6.32-    1.00=        13.84-        1.00=    1.60=    6.05-    3.45-     900.00-
smallinvSNPr4b020-022    1.00=      1.00=    1.00=   85.77-   27.68-    1.00=    1.00=    1.00=   900.00-    1.00=   900.00-    1.00=    1.00=         1.18=        1.00=    1.00=    4.67-    2.53-     900.00-
smallinvSNPr4b050-055    1.00=      1.00=    1.00=  778.59-   61.90-    7.80-    4.20-    1.00=   900.00-    1.00=   900.00-    1.76=    1.00=         2.75-        1.00=    1.00=   54.96-    2.55-     900.00-
smallinvSNPr4b100-110    1.00=      1.00=    1.00=  290.26-   65.31-    4.98-    1.00=    1.00=   900.00-    1.00=   900.00-    1.56=    1.00=         2.30-        1.00=    1.00=  375.60-    2.54-     900.00-
smallinvSNPr4b150-165    1.00=      1.00=    1.00=  365.63-   75.03-    2.52-    4.50-    1.00=   900.00-    1.00=   900.00-    1.31=    1.00=         3.28-        1.00=    1.00=  900.00-    3.42-     900.00-
smallinvSNPr4b200-220    1.00=      1.00=    1.00=  134.84-   50.64-    1.26=    4.50-    1.00=   900.00-    1.00=   900.00-    1.00=    1.00=         1.07=        1.00=    1.00=  205.72-    2.56-     900.00-
smallinvSNPr5b010-011    1.00=      1.46=    1.00=  900.00-   34.07-   10.66-    1.00=    1.00=   900.00-    1.00=   900.00-    5.65-    1.00=         8.62-        1.00=    1.18=    2.10-    3.44-     900.00-
smallinvSNPr5b020-022    1.00=      1.00=    1.00=  297.09-   50.17-    1.79=    4.42-    1.00=   900.00-    1.00=   900.00-    5.43-    1.00=         5.53-        1.00=    1.00=    5.11-    3.44-     900.00-
smallinvSNPr5b050-055    1.00=      1.00=    1.00=  323.14-   41.28-    3.80-    4.15-    1.00=   900.00-    1.00=   900.00-    1.78=    1.00=         2.32-        1.00=    1.00=   64.59-    2.54-     900.00-
smallinvSNPr5b100-110    1.00=    900.00-    1.00=  396.23-   51.43-    7.97-    4.35-    1.00=   900.00-    1.00=   900.00-    3.08-    1.00=         5.24-        1.00=    1.00=   47.24-    2.57-     900.00-
smallinvSNPr5b150-165    1.00=      1.05=    1.00=  499.93-   73.30-    6.80-    4.35-    1.00=   900.00-    1.00=   900.00-    2.01-    1.00=         3.67-        1.00=    1.06=  277.03-    3.40-     900.00-
smallinvSNPr5b200-220    1.00=      1.00=    1.00=  105.98-  900.00-    1.15=    1.00=    1.00=   900.00-    1.00=   900.00-    1.00=    1.00=         1.94=        1.00=    1.00=  156.29-    2.57-     900.00-
squfl010-025             1.37=     58.47-  900.00-   65.14-    2.08-    2.35-   11.51-   16.60-   900.00-   18.61-     6.22-    1.00=    1.00=         1.00=        1.94=    1.00=  900.00-    1.00=     900.00-
squfl010-040             2.35-    146.23-  900.00-  900.00-    2.40-    2.42-  900.00-   43.95-   900.00-   55.30-     2.94-    1.00=  900.00-         1.00=        6.59-    1.84=  900.00-    1.00=     900.00-
squfl010-080            19.01-    900.00-  900.00-  509.95-   14.08-   17.11-   18.28-  182.42-   900.00-  900.00-    10.60-    3.14-   10.64-        13.16-       46.72-   24.96-  900.00-    1.00=     900.00-
squfl015-060           106.62-    823.01-  823.01-  823.01-   20.25-   43.78-  823.01-  233.48-   806.01-  823.01-    21.80-   10.91-   84.04-        26.36-      383.61-   71.54-  823.01-    1.00=     823.01-
squfl015-080           345.23-    501.67-  501.67-  501.67-   25.96-   52.63-  501.67-  501.67-   464.67-  501.67-    37.36-   13.21-  501.67-        54.64-      501.67-  126.70-  501.67-    1.00=     501.67-
squfl020-040            69.27-    900.00-  900.00-  900.00-   20.19-   18.03-   44.94-  244.28-   886.66-  900.00-    13.76-   13.43-  900.00-         9.06-      321.84-   21.00-  900.00-    1.00=     900.00-
squfl020-050           637.88-    724.29-  724.29-  724.29-   23.93-   63.36-  724.29-  724.29-   690.69-  724.29-    42.61-   24.39-  724.29-        35.49-      724.29-  170.64-  724.29-    1.00=     724.29-
squfl020-150            40.51-     40.51-   40.51-   40.51-   14.85-   15.21-   40.51-   40.51-    33.03-   40.51-    40.51-   38.10-   40.51-        40.51-       40.51-   40.51-   40.51-    1.00=      40.51-
squfl025-025            89.26-    900.00-  900.00-  900.00-   24.82-   41.10-   12.34-  900.00-   895.41-  900.00-    22.02-   18.46-  900.00-         8.42-      399.06-   20.25-  900.00-    1.00=     900.00-
squfl025-030           121.45-    867.86-  867.86-  174.21-   29.42-   49.58-  867.86-  867.86-   855.87-  867.86-    24.55-   18.17-  867.86-        12.31-      409.82-   32.52-  867.86-    1.00=     867.86-
squfl025-040           406.93-    406.93-  406.93-  406.93-   20.80-  125.62-  406.93-  406.93-   396.97-  406.93-    64.58-   41.23-  130.57-        47.00-      406.93-  177.72-  406.93-    1.00=     406.93-
squfl030-100             7.16-      7.16-    7.16-    7.16-    4.98-    7.16-    7.16-    7.16-     5.64-    7.16-     7.16-    7.16-    7.16-         7.16-        7.16-    7.16-    7.16-    1.00=       7.16-
squfl030-150             2.84-      2.84-    2.84-    2.84-    2.84-    2.83-    2.84-    2.83-     1.95-    2.84-     2.84-    2.84-    2.84-         2.84-        2.84-    2.84-    2.84-    1.00=       2.84-
squfl040-080             6.78-      6.78-    6.78-    6.78-    6.78-    6.78-    6.78-    6.78-     5.24-    6.78-     6.78-    6.78-    6.78-         6.78-        6.78-    6.78-    6.78-    1.00=       6.78-
st_e14                   1.00=      1.00=    1.00=    1.00=    1.00=    1.00=    1.68=    8.56-     1.00=    1.00=     1.00=    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=       8.56-
st_miqp1                 1.00=      1.00=    1.00=    1.00=    1.00=    1.00=    1.00=    7.59-     1.00=    1.00=     1.00=    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=       7.59-
st_miqp2                 1.00=      1.00=    1.00=    1.00=    1.00=  900.00-  900.00-  900.00-     1.00=    1.00=     1.46=    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
st_miqp3                 1.00=      1.00=    1.00=    1.00=    1.00=    1.00=  123.61-    1.01=     1.00=    1.00=     1.00=    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     123.61-
st_miqp4                 1.00=      1.00=    1.00=    1.00=    1.00=    1.00=  261.85-    1.00=     1.00=    1.00=     1.00=    1.00=    1.00=         1.00=        1.00=  900.00-    1.00=    1.00=     900.00-
st_test1                 1.00=    900.00-    1.00=    1.00=    1.00=    1.00=  227.12-   15.69-     1.00=    1.00=     1.00=    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=     900.00-
st_test2                 1.00=      1.00=    1.00=    1.00=    1.00=    1.00=    1.00=    1.00=     1.00=    1.00=     1.00=    1.00=    1.00=         1.00=        1.00=  900.00-    1.00=    1.00=     900.00-
st_test5                 1.00=      1.00=    1.00=    1.00=    1.00=    1.21=    1.00=    1.00=     1.00=    1.00=     1.51=    1.00=    1.00=         1.00=        1.00=    1.00=    1.00=    1.00=       1.51=
