Absolute performance profile for PrimalGap
Filter: no fail
          SHOTcpx1910MMcvx  scipNCsoplex  baronNC  SHOTcpx1910MM  virt. best  virt. worst
0.045005                 3            13       12              7          14            3
0.045205                 3            13       12              7          14            3
0.045405                 3            13       12              7          14            3
0.045605                 3            13       12              7          14            3
0.045805                 3            13       12              7          14            3
0.046005                 3            13       12              7          14            3
0.046205                 3            13       12              7          14            3
0.046405                 3            13       12              7          14            3
0.046605                 3            13       12              7          14            3
0.046805                 3            13       12              7          14            3
0.047005                 3            13       12              7          14            3
0.047205                 3            13       12              7          14            3
0.047405                 3            13       12              7          14            3
0.047605                 3            13       12              7          14            3
0.047805                 3            13       12              7          14            3
0.048005                 3            13       12              7          14            3
0.048205                 3            13       12              8          14            3
0.048405                 3            13       12              8          14            3
0.048605                 3            13       12              8          14            3
0.048805                 3            13       12              8          14            3
0.049005                 3            13       12              8          14            3
0.049205                 3            13       12              8          14            3
0.049405                 3            13       12              8          14            3
0.049605                 3            13       12              8          14            3
0.049805                 3            13       12              8          14            3
0.050005                 3            13       12              8          14            3
0.050205                 3            13       12              8          14            3
0.050405                 3            13       12              8          14            3
0.050605                 3            13       12              8          14            3
0.050805                 3            13       12              8          14            3
0.051005                 3            13       12              8          14            3
0.051205                 3            13       12              8          14            3
0.051405                 3            13       12              8          14            3
0.051605                 3            13       12              8          14            3
0.051805                 3            13       12              8          14            3
0.052005                 3            13       12              8          14            3
0.052205                 3            13       12              8          14            3
0.052405                 3            13       12              8          14            3
0.052605                 3            13       12              8          14            3
0.052805                 3            13       12              8          14            3
0.053005                 3            13       12              8          14            3
0.053205                 3            13       12              8          14            3
0.053405                 3            13       12              8          14            3
0.053605                 3            13       12              8          14            3
0.053805                 3            13       12              8          14            3
0.054005                 3            13       12              8          14            3
0.054205                 3            13       12              8          14            3
0.054405                 3            13       12              8          14            3
0.054605                 3            13       12              8          14            3
0.054805                 3            13       12              8          14            3
0.055006                 3            13       12              8          14            3
0.055206                 3            13       12              8          14            3
0.055406                 3            13       12              8          14            3
0.055606                 3            13       12              8          14            3
0.055806                 3            13       12              8          14            3
0.056006                 3            13       12              8          14            3
0.056206                 3            13       12              8          14            3
0.056406                 3            13       12              8          14            3
0.056606                 3            13       12              8          14            3
0.056806                 3            13       12              8          14            3
0.057006                 3            13       12              8          14            3
0.057206                 3            13       12              8          14            3
0.057406                 3            13       12              8          14            3
0.057606                 3            13       12              8          14            3
0.057806                 3            13       12              8          14            3
0.058006                 3            13       12              8          14            3
0.058206                 3            13       12              8          14            3
0.058406                 3            13       12              8          14            3
0.058606                 3            13       12              8          14            3
0.058806                 3            13       12              8          14            3
0.059006                 3            13       12              8          14            3
0.059206                 3            13       12              8          14            3
0.059406                 3            13       12              8          14            3
0.059606                 3            13       12              8          14            3
0.059806                 3            13       12              8          14            3
0.060006                 3            13       12              8          14            3
0.060206                 3            13       12              8          14            3
0.060406                 3            13       12              8          14            3
0.060606                 3            13       12              8          14            3
0.060806                 3            13       12              8          14            3
0.061006                 3            13       12              8          14            3
0.061206                 3            13       12              8          14            3
0.061406                 3            13       12              8          14            3
0.061606                 3            13       12              8          14            3
0.061806                 3            13       12              8          14            3
0.062006                 3            13       12              8          14            3
0.062206                 3            13       12              8          14            3
0.062406                 3            13       12              8          14            3
0.062606                 3            13       12              8          14            3
0.062806                 3            13       12              8          14            3
0.063006                 3            13       12              8          14            3
0.063206                 3            13       12              8          14            3
0.063406                 3            13       12              8          14            3
0.063606                 3            13       12              8          14            3
0.063806                 3            13       12              8          14            3
0.064006                 3            13       12              8          14            3
0.064206                 3            13       12              8          14            3
0.064406                 3            13       12              8          14            3
0.064606                 3            13       12              8          14            3
0.064806                 3            13       12              8          14            3
0.065007                 3            13       12              8          14            3
0.065207                 3            13       12              8          14            3
0.065407                 3            13       12              8          14            3
0.065607                 3            13       12              8          14            3
0.065807                 3            13       12              8          14            3
0.066007                 3            13       12              8          14            3
0.066207                 3            13       12              8          14            3
0.066407                 3            13       12              8          14            3
0.066607                 3            13       12              8          14            3
0.066807                 3            13       12              8          14            3
0.067007                 3            13       12              8          14            3
0.067207                 3            13       12              9          14            3
0.067407                 3            13       12              9          14            3
0.067607                 3            13       12              9          14            3
0.067807                 3            13       12              9          14            3
0.068007                 3            13       12              9          14            3
0.068207                 3            13       12              9          14            3
0.068407                 3            13       12              9          14            3
0.068607                 3            13       12              9          14            3
0.068807                 3            13       12              9          14            3
0.069007                 3            13       12              9          14            3
0.069207                 3            13       12              9          14            3
0.069407                 3            13       12              9          14            3
0.069607                 3            13       12              9          14            3
0.069807                 3            13       12              9          14            3
0.070007                 3            13       12              9          14            3
0.070207                 3            13       12              9          14            3
0.070407                 3            13       12              9          14            3
0.070607                 3            13       12              9          14            3
0.070807                 3            13       12              9          14            3
0.071007                 3            13       12              9          14            3
0.071207                 3            13       12              9          14            3
0.071407                 3            13       12              9          14            3
0.071607                 3            14       12              9          14            3
0.071807                 3            14       12              9          14            3
0.072007                 3            14       12              9          14            3
0.072207                 3            14       12              9          14            3
0.072407                 3            14       12              9          14            3
0.072607                 3            14       12              9          14            3
0.072807                 3            14       12              9          14            3
0.073007                 3            14       12              9          14            3
0.073207                 3            14       12              9          14            3
0.073407                 3            14       12              9          14            3
0.073607                 3            14       12              9          14            3
0.073807                 3            14       12              9          14            3
0.074007                 3            14       12              9          14            3
0.074207                 3            14       12              9          14            3
0.074407                 3            14       12              9          14            3
0.074607                 3            14       12              9          14            3
0.074807                 3            14       12              9          14            3
0.075008                 3            14       12              9          14            3
0.075208                 3            14       12              9          14            3
0.075408                 3            14       12              9          14            3
0.075608                 3            14       12              9          14            3
0.075808                 3            14       12              9          14            3
0.076008                 3            14       12              9          14            3
0.076208                 3            14       12              9          14            3
0.076408                 3            14       12              9          14            3
0.076608                 3            14       12              9          14            3
0.076808                 3            14       12              9          14            3
0.077008                 3            14       12              9          14            3
0.077208                 3            14       12              9          14            3
0.077408                 3            14       12              9          14            3
0.077608                 3            14       12              9          14            3
0.077808                 3            14       12              9          14            3
0.078008                 3            14       12              9          14            3
0.078208                 3            14       12              9          14            3
0.078408                 3            14       12              9          14            3
0.078608                 3            14       12              9          14            3
0.078808                 3            14       12              9          14            3
0.079008                 3            14       12              9          14            3
0.079208                 3            14       12              9          14            3
0.079408                 3            14       12              9          14            3
0.079608                 3            14       12              9          14            3
0.079808                 3            14       12              9          14            3
0.080008                 3            14       12              9          14            3
0.080208                 3            14       12              9          14            3
0.080408                 3            14       12              9          14            3
0.080608                 3            14       12              9          14            3
0.080808                 3            14       12              9          14            3
0.081008                 3            14       12              9          14            3
0.081208                 3            14       12              9          14            3
0.081408                 3            14       12              9          14            3
0.081608                 3            14       12              9          14            3
0.081808                 3            14       12              9          14            3
0.082008                 3            14       12              9          14            3
0.082208                 3            14       12              9          14            3
0.082408                 3            14       12              9          14            3
0.082608                 3            14       12              9          14            3
0.082808                 3            14       12              9          14            3
0.083008                 3            14       12              9          14            3
0.083208                 3            14       12              9          14            3
0.083408                 3            14       12              9          14            3
0.083608                 3            14       12              9          14            3
0.083808                 3            14       12              9          14            3
0.084008                 3            14       12              9          14            3
0.084208                 3            14       12              9          14            3
0.084408                 3            14       12              9          14            3
0.084608                 3            14       12              9          14            3
0.084808                 3            14       12              9          14            3
0.085009                 3            14       12              9          14            3
0.085209                 3            14       12              9          14            3
0.085409                 3            14       12              9          14            3
0.085609                 3            14       12              9          14            3
0.085809                 3            14       12              9          14            3
0.086009                 3            14       12              9          14            3
0.086209                 3            14       12              9          14            3
0.086409                 3            14       12              9          14            3
0.086609                 3            14       12              9          14            3
