                       Scp2804s  aecp  aoa  baron    dicopt      sbb  virt. best  virt. worst
syn05hfsg                     1    18    1      1        55       55           1           55
syn05h                        1    18    1      1        44       38           1           44
syn05m02hfsg                  1    62    1      1       113       57           1          113
syn05m02h                     1    62    1      1       138       76           1          138
syn05m02m                     1    62    1      1       170      258           1          258
syn05m03hfsg                  1    77    1      1       137       65           1          137
syn05m03h                     1    77    1      1       164       70           1          164
syn05m03m                     1    77    1      1       251      573           1          573
syn05m04hfsg                  1    92    1      1       165       75           1          165
syn05m04h                     1    92    1      1       186       83           1          186
syn05m04m                     1    92    1      1       278      779           1          779
syn05m                        1    17    1      1        61       86           1           86
syn10hfsg                     1    12    1      1        67       38           1           67
syn10h                        1    12    1      1        49       26           1           49
syn10m02hfsg                  1    80    1      1       592      285           1          592
syn10m02h                     1    80    1      1       620      277           1          620
syn10m02m                     1    80    1      1       886     7209           1         7209
syn10m03hfsg                  1   106    1      1       829      387           1          829
syn10m03h                     1   106    1      1       847      429           1          847
syn10m03m                     1   106    1      1       911    28037           1        28037
syn10m04hfsg                  1   126    1      1      1214      426           1         1214
syn10m04h                     1   126    1      1      1181      506           1         1181
syn10m04m                     1   126    1      1      1428    94138           1        94138
syn10m                        1    12    1      1        52      183           1          183
syn15hfsg                     1    23    1      1       146      113           1          146
syn15h                        1    23    1      1        85       71           1           85
syn15m02hfsg                  1    66    1      1       510      229           1          510
syn15m02h                     1    66    1      1       469      224           1          469
syn15m02m                     1    66    1      1       417     7860           1         7860
syn15m03hfsg                  1    82    1      1       735      349           1          735
syn15m03h                     1    80    1      1       822      525           1          822
syn15m03m                     1    82    1      1       689    28882           1        28882
syn15m04hfsg                  1   100    1      1      1063      431           1         1063
syn15m04h                     1   103    1      1      1339      438           1         1339
syn15m04m                     1   111    1      1      1085   164886           1       164886
syn15m                        1    23    1      1       151      517           1          517
syn20hfsg                     1    52    1      1       277      162           1          277
syn20h                        1    52    1      1       258      159           1          258
syn20m02hfsg                  1    74    1      1      1044      871           1         1044
syn20m02h                     1    74    1      1      1553      704           1         1553
syn20m02m                     1    74    1      1      1469   919940           1       919940
syn20m03hfsg                  1   107    1      1      2134     1268           1         2134
syn20m03h                     1    94    1      1      2374      846           1         2374
syn20m04hfsg                  1   113    1      1      2386     1316           1         2386
syn20m04h                     1   113    1      1      2741     1304           1         2741
syn20m                        1    53    1      1       226     5369           1         5369
syn30hfsg                     1   106    1      1       709      436           1          709
syn30m02hfsg                  1   125    1      1      1194      573           1         1194
syn30m02h                     1   125    1      1      1626      694           1         1626
syn30m03hfsg                  1   167    1      1      2166     1105           1         2166
syn30m03h                     1   169    1      1      1903     1812           1         1903
syn30m04hfsg                  1   212    1      1      2743     2316           1         2743
syn30m04h                     1   214    1      1      2486     3362           1         3362
syn30m                        1   108    1      1       957  1739803           1      1739803
syn40h                        1   108    1      1       869      564           1          869
syn40m02hfsg                  1   122    1      1      1344     1536           1         1536
syn40m02h                     1   161    1      1      1496     1938           1         1938
syn40m03hfsg                  1   278    1      1      4114     6767           1         6767
syn40m03h                     1   277    1      1      3967     9378           1         9378
syn40m04hfsg                  1   195    1      1      3338    16273           1        16273
syn40m04h                     1   195    1      1      4190    33386           1        33386
synthes1                      1    19    1      1        75       68           1           75
synthes2                      1    36    1      1       142      148           1          148
synthes3                      1    40    1      1       379      425           1          425
tls2                          1    17    1      1       268     9827           1         9827
