                           Scp2804s      aecp    aoa  baron         dicopt          sbb    virt. worst
hybriddynamic_fixed           1.00=     8.00-  1.00=  1.00=         25.00-       60.00-         60.00-
ibs2                          1.00=    17.00-  1.00=      -     194580.00-   138256.00-              -
jit1                          1.00=    20.00-  1.00=  1.00=        258.00-       74.00-        258.00-
m3                            1.00=    24.00-  1.00=  1.00=        618.00-     1200.00-       1200.00-
m6                            1.00=    17.00-  1.00=  1.00=       3172.00-  2039265.00-    2039265.00-
m7_ar25_1                     1.00=    16.00-  1.00=  1.00=      11183.00-  4997023.00-    4997023.00-
m7_ar2_1                      1.00=    35.00-  1.00=  1.00=     232425.00-  4195420.00-    4195420.00-
m7_ar3_1                      1.00=    31.00-  1.00=  1.00=     149079.00-  4900303.00-    4900303.00-
m7_ar4_1                      1.00=    11.00-  1.00=  1.00=      25572.00-  4661098.00-    4661098.00-
m7_ar5_1                      1.00=    11.00-  1.00=  1.00=      57424.00-  4677073.00-    4677073.00-
m7                            1.00=    18.00-  1.00=  1.00=      37688.00-  5212650.00-    5212650.00-
meanvarx                      1.00=    24.00-  1.00=  1.00=        112.00-       63.00-        112.00-
netmod_dol1                   1.00=    53.00-  1.00=  1.00=   22583260.00-  2519719.00-   22583260.00-
netmod_dol2                   1.00=    50.00-  1.00=  1.00=    1193334.00-   426379.00-    1193334.00-
netmod_kar1                   1.00=   108.00-  1.00=  1.00=     942528.00-   206621.00-     942528.00-
netmod_kar2                   1.00=   108.00-  1.00=  1.00=     942528.00-   206621.00-     942528.00-
no7_ar25_1                    1.00=    95.00-  1.00=  1.00=    1349683.00-  4829918.00-    4829918.00-
no7_ar2_1                     1.00=    36.00-  1.00=  1.00=    1416561.00-  4838670.00-    4838670.00-
no7_ar3_1                     1.00=    80.00-  1.00=  1.00=    4198517.00-  4747061.00-    4747061.00-
no7_ar4_1                     1.00=   145.00-  1.00=  1.00=    7056555.00-  4668487.00-    7056555.00-
no7_ar5_1                     1.00=    48.00-  1.00=  1.00=    7737049.00-  4619027.00-    7737049.00-
nvs03                         1.00=    19.00-  1.00=  1.00=         73.00-       61.00-         73.00-
nvs10                         1.00=    23.00-  1.00=  1.00=         75.00-       35.00-         75.00-
nvs11                         1.00=    27.00-  1.00=  1.00=         41.00-       89.00-         89.00-
nvs12                         1.00=    40.00-  1.00=  1.00=         82.00-       96.00-         96.00-
nvs15                         1.00=    13.00-  1.00=  1.00=        124.00-       43.00-        124.00-
o7_2                          1.00=    27.00-  1.00=  1.00=   17908354.00-  5138193.00-   17908354.00-
o7_ar25_1                     1.00=    59.00-  1.00=  1.00=   15564991.00-  4854691.00-   15564991.00-
o7_ar2_1                      1.00=    60.00-  1.00=  1.00=    4520170.00-  4877632.00-    4877632.00-
o7_ar3_1                      1.00=    99.00-  1.00=  1.00=   35829195.00-  4781736.00-   35829195.00-
