                        SHOT_cpx_m.1 SHOT_cpx_m_ecp.1 SHOT_cpx_m_ecp_nonlp.1 SHOT_cpx_m_opt_nosp.1 SHOT_cpx_m_opt_sp.1 SHOT_cpx_m_t1.1 SHOT_cpx_s.1 SHOT_cpx_s_ecp.1 SHOT_cpx_s_nomiqp.1 SHOT_cpx_s_t1.1 SHOT_grb_m.1 SHOT_grb_m_t1.1 SHOT_grb_s.1 SHOT_grb_s_nomiqp.1 SHOT_grb_s_t1.1 virt. worst
flay06m                        1.00=            1.00=                  1.00=                 0.99=               1.00=           0.98=        1.00=            0.96=               1.00=           0.96=        1.00=           0.94=        1.00=               1.00=           0.91=       0.91=
fo7_ar25_1                     1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo7_ar2_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo7_ar3_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo7_ar4_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo7                            1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo8_ar25_1                     1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo8_ar2_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo8_ar3_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo8_ar4_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo8_ar5_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo8                            1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo9_ar25_1                     1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           0.99=        1.00=           0.99=        1.00=               1.00=           0.91=       0.91=
fo9_ar2_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           0.95=        1.00=           1.00=        1.00=               1.00=           1.00=       0.95=
fo9_ar3_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo9_ar4_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           0.84-        1.00=           1.00=        1.00=               1.00=           1.00=       0.84-
fo9_ar5_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
fo9                            1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
gams01                         0.69-            0.70-                  0.67-                 1.00=               1.00=           0.63-        0.84-            0.77-               0.82-           0.67-        0.71-           0.65-        0.67-               0.68-           0.55-       0.55-
netmod_dol2                    1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
no7_ar25_1                     1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
no7_ar2_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
no7_ar3_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
no7_ar4_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
no7_ar5_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
o7_2                           1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
o7_ar25_1                      1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
o7_ar2_1                       1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
o7_ar3_1                       1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
o7_ar4_1                       1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           0.94=        1.00=               1.00=           1.00=       0.94=
o7_ar5_1                       1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
o7                             1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           0.98=        1.00=               1.00=           1.00=       0.98=
o8_ar4_1                       1.00=            1.00=                  1.00=                 1.00=               1.00=           0.99=        0.98=            1.00=               0.99=           0.82-        0.84-           0.77-        1.00=               1.00=           0.83-       0.77-
o9_ar4_1                       1.00=            1.00=                  1.00=                 0.98=               0.98=           0.93=        0.95=            0.89-               0.91=           0.65-        0.83-           0.69-        0.99=               0.96=           0.82-       0.65-
portfol_classical200_2         1.05=            1.16=                  1.17=                 1.05=               1.05=           1.02=        1.12=            1.31=               1.11=           1.12=        1.08=           1.01=        1.00=               1.00=           1.01=       1.31=
rsyn0805m04m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0810m03m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0810m04m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0815m04m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0820m03m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0820m04m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0830m03h                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0830m03m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0830m04h                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0830m04m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0840m03h                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0840m03m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0840m04h                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
rsyn0840m04m                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
slay07h                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
slay07m                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
slay08h                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
slay08m                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
slay09h                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
slay09m                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               1.00=           1.00=       1.00=
slay10h                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               0.95=           1.00=       0.95=
slay10m                        1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               1.00=           1.00=        1.00=           1.00=        1.00=               0.95=           1.00=       0.95=
squfl010-025                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.52-           1.00=        1.00=           1.00=        1.00=               0.83-           1.00=       0.52-
squfl010-040                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.42-           1.00=        1.00=           1.00=        1.00=               0.65-           1.00=       0.42-
squfl010-080                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.40-           1.00=        1.00=           1.00=        1.00=               0.55-           1.00=       0.40-
squfl015-060                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.35-           1.00=        1.00=           1.00=        1.00=               0.53-           1.00=       0.35-
squfl015-080                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.32-           1.00=        1.00=           1.00=        1.00=               0.50-           1.00=       0.32-
squfl020-040                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.43-           1.00=        1.00=           1.00=        1.00=               0.65-           1.00=       0.43-
squfl020-050                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.32-           1.00=        1.00=           1.00=        1.00=               0.51-           1.00=       0.32-
squfl020-150                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=              -0.15-           1.00=        1.00=           1.00=        1.00=               0.20-           1.00=      -0.15-
squfl025-025                   1.00=            1.00=                  1.00=                 1.00=               1.00=           1.00=        1.00=            1.00=               0.49-           1.00=        1.00=           1.00=        1.00=               0.66-           1.00=       0.49-
