                       SHOT_cpx_m.1  SHOT_cpx_m_ecp.1  SHOT_cpx_m_ecp_nonlp.1  SHOT_cpx_m_opt_nosp.1  SHOT_cpx_m_opt_sp.1  SHOT_cpx_m_t1.1  SHOT_cpx_s.1  SHOT_cpx_s_ecp.1  SHOT_cpx_s_nomiqp.1  SHOT_cpx_s_t1.1  SHOT_grb_m.1  SHOT_grb_m_t1.1  SHOT_grb_s.1  SHOT_grb_s_nomiqp.1  SHOT_grb_s_t1.1  virt. best  virt. worst
flay04m                        2044             15150                    3492                  36452                27769             8564          1514              1861                 1514             1208          2311             8526          1892                 1892              789         789        36452
flay05h                      240011             96930                  102474                2639322              1345999           117560         64977             70841                64977            59596        177663           144358         54630                54630            61065       54630      2639322
flay05m                      251672            232622                   76183                2174940              1239521            76118         43992             55190                54413            42369         89262            82975         54722                54722            37781       37781      2174940
fo7_2                         15924             23241                   36833                 102791               102553            16008         25835              6406                44436             9543         53422            24436         19803                19803            14899        6406       102791
fo7_ar25_1                    49296             64721                  179565                  96624                86064            57463         39879             32989                94550            34997         95464            59208         21994                21994            25243       21994       179565
fo7_ar2_1                     35954             84479                  172757                  73971                52251            43766         34897             47240                56507            23005         27784            34890         17042                17042             8309        8309       172757
fo7_ar3_1                     93088            191198                  386572                 131176                93020            72538         61207             93758                56152            40598         82952            98755         22199                22199            11932       11932       386572
fo7_ar4_1                    130481            145249                  144335                 132197                87395            49040         49355             84053                59855            34374         51733            71702          3352                 3352            24437        3352       145249
fo7_ar5_1                     18063             40271                   58761                  65209                47288            20193          9010              3523                 2886             4430         27462            12124         15418                15418             4685        2886        65209
fo7                          106260            164102                  363174                 280761               300794           121783        135431            144351                88542            62746        105442            85196         40807                40807            28293       28293       363174
fo8_ar25_1                   161606            528047                 1013916                 300589               277898           182671        291664            337097               463601           187569        403354            94104         78014                78014           188313       78014      1013916
fo8_ar2_1                    203128            251018                  766247                 275850               277915           187911         80066             79850               231906           119954        244121           268188        137942               137942           105115       79850       766247
fo8_ar3_1                     84789             49862                  181600                  56226                46104            97093        243238            108730               151265           219780         78984            54340         54071                54071            78790       46104       243238
fo8_ar4_1                     96009            101707                  348856                 109715               112338           103444        116743             54274                83789            48362        112649            80803         39451                39451           114597       39451       348856
fo8_ar5_1                    182570            280782                  866950                 194564               169281           150318        134026            255939               127540           134610        235565           345468        105029               105029            84673       84673       866950
fo8                          115789            344852                  603088                 428930               349008           414578        119574            290896               150128           135350        660370           295592         22871                22871            83005       22871       660370
fo9_ar3_1                    103224            317874                  754876                  59424                39616           171148        975075           1555692               747484           464410         90162           123020        104408               104408           104432       39616      1555692
fo9_ar5_1                    397751            866353                 3222683                 400797               326961           165085        979017           2115793               657084           273795        222314           390785        509568               509568           481432      165085      3222683
fo9                          209595            533302                 6494721                5074842              2141074          1408407       1232734           1054764              1283598          1234591        246664           497894        431051               431051           374339      209595      6494721
gbd                               1                 1                       1                      1                    1                1             1                 1                    1                1             1                1             1                    1                1           1            1
hybriddynamic_fixed               1                 1                       1                      1                    1                1             1                 1                    1                1             1                1             1                    1                1           1            1
jit1                              1                 1                       1                      1                    1                3             1                 1                    1                1             9               12             1                    1                1           1           12
m3                                1                 1                       1                      1                    1               28            38                30                   38               38            29               27            33                   33               14           1           38
m6                              517               457                     502                    380                  380              314           339               694                  462              237          3883             2589          1131                 1131              334         237         3883
m7_ar25_1                       978               951                    1849                   2869                 2695              948          1618              1499                 1678              680          3422              926            59                   59              597          59         3422
m7_ar2_1                      22587              9559                   45210                  20281                16343            11914          5603              2665                 5570              473          7419            10967          3024                 3024             2094         473        45210
m7_ar3_1                       9021              9614                    8317                  23728                14008            14733          5884              4659                 5620              390         21151            18111          5070                 5070             2307         390        23728
m7_ar4_1                        634              1244                    3869                   1431                 1431             1344           925               889                  926              860          4485             6513           120                  120             1391         120         6513
m7_ar5_1                       8735              6107                    8520                   9697                 5675             4884          3929              3167                 3574             3206         17792            18964          8375                 8375             2927        2927        18964
m7                             1487              4380                    4895                   2519                 2519             6757          4816              2569                 5204              978          5217             5269          5684                 5684             1019         978         6757
meanvarxsc                        9                 9                       9                      9                    9                6             1                 1                    1                1             1                1             1                    1                1           1            9
meanvarx                          1                 1                       1                      1                    1                1             1                 1                    1                1             1                1             1                    1                1           1            1
netmod_dol2                     253               253                     253                    253                  253              235             1                 1                 1200                1           262              226             1                 1514                1           1         1514
netmod_kar1                     346               346                     346                    346                  346              361             1                 1                 1048                1          1263              620             1                 1423                1           1         1423
netmod_kar2                     346               346                     346                    346                  346              361             1                 1                  859                1          1263              620             1                 1423                1           1         1423
no7_ar25_1                   152316            130843                  471348                 211413               145434            87549        118100            135641               159969            58617        146324           138593         40898                40898            31707       31707       471348
no7_ar2_1                     40788             31019                  197250                 126805                95609            79548         24249             68504                37558            93001         49677            55526         15859                15859             7500        7500       197250
no7_ar3_1                    471279            452144                 1366899                 578384               384115           238854        200667            232441               179990           378650        241165           256079         67401                67401            64687       64687      1366899
no7_ar4_1                    290173            435971                  645284                 425993               345771           216231        203098            253753               179078           246900        248594           136062         45590                45590            67911       45590       645284
no7_ar5_1                     97767            130685                  615444                 397286               186169           111272         81432            115222               100241            65928        276799           207014         44211                44211            79619       44211       615444
nvs03                             1                 1                       1                      1                    1                1             1                 1                    1                1             1                1             1                    1                1           1            1
nvs11                             1                 1                       1                      1                    1                1             1                 1                    1                1             2                2             1                    1                1           1            2
nvs12                             1                 1                       1                      1                    1                1             1                 1                    1                1             2                2             1                    1                1           1            2
nvs15                             1                 1                       1                      1                    1                1             1                 1                    1                1             1                1             1                    1                1           1            1
o7_2                         370848            602090                 2983592                3971164              3403938           683849         80332            386262               690153            59447       1204147           780528         47839                47839           616635       47839      3971164
o7_ar25_1                    324650            228393                 1741020                1344655              1033638           803907        442798            491752               556296           121431        706051           351227          9598                 9598             7986        7986      1741020
o7_ar2_1                      65566            101273                  294486                 288246               238408            80379        175132            116029               165735            77760         47312            68037         18072                18072             3515        3515       294486
o7_ar3_1                     622540            484839                 2573984                3192706              2249023           526582        529386           2390609               556480            43908        643599           609220        180142               180142           411717       43908      3192706
o7_ar5_1                     416216            550998                 1259957                1702330               730273           548237        978448            737651               773064            77625        805097          1004018        254018               254018            57694       57694      1702330
portfol_buyin                     1                 1                       1                      1                    1                1             1                 1                    1                3             7                7             1                    1                1           1            7
portfol_card                      1                 1                       1                      1                    1                1             1                 1                    1                1             3                3             4                    4                7           1            7
ravempb                           1                 1                       1                      1                    1              186            37                46                   37               23            39               61            91                   91               60           1          186
rsyn0805h                         1                 1                       1                      1                    1                1             1                 1                    1                1            59               29             1                    1                1           1           59
rsyn0805m02h                      1                 1                       1                      1                    1                1             1                 1                    1                1            12                7            48                   48               20           1           48
rsyn0805m02m                   5035              7157                   16247                   7325                 6554             4249           667               701                  763              140           635             1333          2676                 2676             1157         140        16247
rsyn0805m03h                      1                 1                       1                      1                    1                1             1                 1                    1                1             2                2             1                    1                1           1            2
rsyn0805m03m                   6934             10946                   30800                   6557                 6557             6927          1126              1137                 1250              896          1551              948          1417                 1417              447         447        30800
rsyn0805m04h                      1                 1                       1                      1                    1                1             1                 1                    1                1             3                3             1                    1                1           1            3
rsyn0805m04m                   1272              1170                   10573                   2686                 2632             1313           638               238                  652              250           283              162           653                  653              217         162        10573
rsyn0805m                         1                 1                       1                      1                    1              308           156                90                  155               30           144              188            63                   63               71           1          308
rsyn0810h                         1                 1                       1                      1                    1                1             1                 1                    1                1            12                6             1                    1                1           1           12
rsyn0810m02h                      1                 1                       1                      1                    1                3             1                 4                    1                1             8               11           143                  143                9           1          143
rsyn0810m02m                   3107              9607                   30985                   8731                 7421             2513          1385              1645                 1422             1259           750             3049          4135                 4135             1349         750        30985
rsyn0810m03h                      1                 1                       1                      1                    1               32             1                 1                    1                1            17                3           231                  231               43           1          231
rsyn0810m03m                   6036             16094                   67736                  10997                 9902             5719          2453              2265                 1615             2070           717             1570          3001                 3001             1353         717        67736
rsyn0810m04h                      1                 1                       1                      1                    1                1             1                 1                    1                1             3                2             1                    1                1           1            3
rsyn0810m04m                   1831              4112                   19464                   2949                 2817             2483           424               299                  454              279           179              222          1733                 1733             1453         179        19464
rsyn0810m                         1                 1                       1                      1                    1              237            41                67                   41               10           187              407            43                   43               40           1          407
rsyn0815h                         1                 1                       1                      1                    1               14             1                 1                    1                1            25               12             1                    1                1           1           25
rsyn0815m02h                      1                 1                       1                      1                    1                1             1                 1                    1                1            14               10             5                    5                7           1           14
rsyn0815m02m                   3374              3539                    4572                   5016                 5016             2286           922               548                 1127              788          1462             2939          3483                 3483             1816         548         5016
rsyn0815m03h                      1                 1                       1                      1                    1                1             1                 1                    1                1             9                5            67                   67               18           1           67
rsyn0815m03m                   5124              7935                   26045                  17263                16124             6914          2143              1795                 1990             1860          3482             1995          1599                 1599             1306        1306        26045
rsyn0815m04h                      1                 1                       1                      1                    1                1             1                 1                    1                1             6                4             1                    1                1           1            6
rsyn0815m04m                   4999             16253                   38045                  10722                10036             2964          1429              1605                 1429             1307          1853              969          2208                 2208             1302         969        38045
rsyn0815m                         1                 1                       1                      1                    1              158            84               117                   85               56            40              102             1                    1                5           1          158
rsyn0820h                         1                 1                       1                     25                   13                8             1                 1                    1                1            12                3             1                    1                1           1           25
rsyn0820m02h                      1                 1                       1                      1                    1                1             1                10                    1                1             7                4             1                    1                1           1           10
rsyn0820m02m                   6811              3488                    8161                   8560                 7948             2481          3170              3753                 3411             2803          1578             1493          2338                 2338             2093        1493         8560
rsyn0820m03h                      1                 1                       1                      1                    1                1             1                 1                    1                1             6                6           175                  175               22           1          175
rsyn0820m03m                   9449             17747                   37013                  14458                14123            10065          7017              4879                 4994             4020          2325             4947          7687                 7687             1350        1350        37013
rsyn0820m04h                      1                 1                       1                      1                    1                1             1                 3                    1                1            14                7           196                  196               14           1          196
rsyn0820m04m                  13758             32955                  130606                  19165                19870            13908         10146              5948                 9987             7911          2841             1408          1724                 1724             2161        1408       130606
rsyn0820m                        46                44                    1136                    181                  275              511           171               158                  171              134           369              431           402                  402              163          44         1136
rsyn0830h                         1                 1                       1                      1                    1               14             2                 1                    2                2             8                6            67                   67               19           1           67
rsyn0830m02h                      1                 1                       1                      1                    1               47            17                21                   17               18             9                7           403                  403               55           1          403
rsyn0830m02m                   2655              6018                   18545                   9662                 9346             2994           722               644                  730              450           949              390          1904                 1904             1515         390        18545
rsyn0830m03h                      1                 1                       1                      1                    1               13            24                22                   24               20            13                9           559                  559              125           1          559
rsyn0830m03m                   5403             13644                   37838                  20571                19963             2542          1100              1047                 1093              690          3401             2279          2260                 2260              601         601        37838
rsyn0830m04h                      1                 1                      38                      1                    1               14             1                38                    1               10            14               19           559                  559               29           1          559
rsyn0830m04m                   5682             33201                  154289                  36275                28699             3110          2011              2542                 1687              860          2456             2089          4737                 4737              990         860       154289
rsyn0840h                         1                 1                       1                      1                    1                5             1                11                    1                1             4                4             1                    1                1           1           11
rsyn0840m02h                      1                 1                       1                      1                    1                3            12                 1                   12               15             6                5            31                   31               15           1           31
rsyn0840m02m                   4790              5434                   11916                   9432                 8170              811           917              1834                  849              723          1006              728          4089                 4089              391         391        11916
rsyn0840m03h                      1                 1                       1                      1                    1               32             3                 1                    3               20            12                7           385                  385               39           1          385
rsyn0840m03m                    539              1407                   13530                   2327                 2291             1076           757              1222                  737              110           449              139          5405                 5405              526         110        13530
rsyn0840m04h                      1                 1                    1179                      1                    1                1            87                 1                   64               47             9                7           325                  325               38           1         1179
rsyn0840m04m                  11812             37610                  162228                  53075                36898             2809           998              1463                 1272             1000          3391             2322          3628                 3628              729         729       162228
rsyn0840m                         1                22                     167                      1                   29              256           117               147                  118               66           112               88           266                  266               93           1          266
slay04h                         117               117                     117                    117                  117              138             1                 1                   80                1            52               23             1                  471                1           1          471
slay04m                           1                 1                       1                      1                    1               23             1                 1                   25                1             1                1             1                  802                1           1          802
slay05h                         415               415                     415                    415                  415              270             1                 1                  209                1           123               28             1                 1722                1           1         1722
slay05m                           1                 1                       1                      1                    1               25             1                 1                   37                1             4                4             1                 3066                1           1         3066
slay06h                        1087              1087                    1087                   1087                 1087             1087             1                 1                  401                1           256               70             1                 3467                1           1         3467
slay06m                           1                 1                       1                      1                    1               27             1                 1                  107                1             8               12             1                 4635                1           1         4635
slay07h                        2469              2469                    2469                   2469                 2469             1702             1                 1                  499                1           197               92             1                 7239                1           1         7239
slay07m                          49                49                      49                     49                   49               47             1                 1                  751                1            32               36             1                 5171                1           1         5171
slay08h                        4033              4033                    4033                   4033                 4033             1449             1                 1                 1722                1           442              218             1                 5561                1           1         5561
