                                  Instance                                   |                                 SHOTcbc1910@1                                  |                                 SHOTcpx1910@1                                  |                                 SHOTgur2310@1                                  |                                  antigoneNC@0                                  |                                   baronNC@0                                    |                                 couenneNCcbc@0                                 |                                    gurobi@1                                    |                                   lglobal@0                                    |                                 scipNCsoplex@1                                 |
name                      #Vars #Disc #Equs Dir    Dual bound  Primal bound I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|TermStatus    Dual bound DualGap  Primal bound PrimGap Gap[%] Time[s]    Nodes I|
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
tln2                          9     8    13 min  5.300000e+00  5.300000e+00  |normal      5.300000e+00    0.00  5.300000e+00    0.00   0.00    0.06        0  |normal      5.300000e+00    0.00  5.300000e+00    0.00   0.00    0.08        0  |normal      5.300000e+00    0.00  5.300000e+00    0.00   0.00    0.08        7  |normal      5.294700e+00    0.10  5.300000e+00    0.00   0.10    0.00        0  |normal      5.294705e+00    0.10  5.300000e+00    0.00   0.10    0.06        1  |normal      5.300000e+00    0.00  5.300000e+00    0.00   0.00    0.01        2  |normal      5.300000e+00    0.00  5.300000e+00    0.00   0.00    0.03        7  |normal      5.300000e+00    0.00  5.300000e+00    0.00   0.00    0.00        0  |normal      5.300000e+00    0.00  5.300000e+00    0.00   0.00    0.01        1  |
tln4                         25    24    25 min  8.300000e+00  8.300000e+00  |normal      8.300000e+00    0.00  8.300000e+00    0.00   0.00   54.38   489184  |normal      8.300000e+00    0.00  8.300000e+00    0.00   0.00    1.83        0  |normal      8.300000e+00    0.00  8.300000e+00    0.00   0.00    0.10      284  |normal      8.291700e+00    0.10  8.300000e+00    0.00   0.10    1.00       20  |normal      8.291708e+00    0.10  8.300000e+00    0.00   0.10    0.50       32  |normal      8.292530e+00    0.09  8.300000e+00    0.00   0.09  104.81   240501  |normal      8.300000e+00    0.00  8.300000e+00    0.00   0.00    0.05      249  |normal      8.300000e+00    0.00  8.300000e+00    0.00   0.00    1.21        0  |normal      8.300000e+00    0.00  8.300000e+00    0.00   0.00    1.66     3072  |
tln5                         36    35    31 min  1.030000e+01  1.030000e+01  |iterlim     0.000000e+00     inf  1.030000e+01    0.00    inf  268.65  2123605  |timelim     0.000000e+00     inf  1.030000e+01    0.00    inf  900.01        0  |normal      1.030000e+01    0.00  1.030000e+01    0.00   0.00    0.31     3683  |normal      1.028970e+01    0.10  1.030000e+01    0.00   0.10    2.00       30  |normal      1.028971e+01    0.10  1.030000e+01    0.00   0.10    0.58       32  |timelim     6.142222e+00   67.69  1.060000e+01    2.91  72.58  904.76   741233  |normal      1.030000e+01    0.00  1.030000e+01    0.00   0.00    0.09      738  |timelim     7.600000e+00   35.53  1.030000e+01    0.00  35.53  900.04        0  |normal      1.030000e+01    0.00  1.030000e+01    0.00   0.00   60.88    57872  |
tln6                         49    48    37 min  1.530000e+01  1.530000e+01  |iterlim     0.000000e+00     inf  1.530000e+01    0.00    inf  262.24  1612453  |timelim     0.000000e+00     inf  1.530000e+01    0.00    inf  900.04        0  |normal      1.530000e+01    0.00  1.530000e+01    0.00   0.00    2.49    29289  |normal      1.528470e+01    0.10  1.530000e+01    0.00   0.10    1.00        9  |normal      1.530000e+01    0.00  1.530000e+01    0.00   0.00    3.39      361  |timelim     7.837157e+00   95.22  1.560000e+01    1.96  99.05  905.02   598185  |normal      1.530000e+01    0.00  1.530000e+01    0.00   0.00    0.13      619  |timelim     1.140000e+01   34.21  1.530000e+01    0.00  34.21  900.03        0  |timelim     7.656895e+00   99.82  1.530000e+01    0.00  99.82  900.32    58396  |
tln7                         64    63    43 min  1.426029e+01  1.500000e+01  |iterlim     0.000000e+00      --  1.550000e+01      --    inf  267.77  1059682  |timelim     0.000000e+00      --  1.500000e+01      --    inf  900.03        0  |normal      1.500000e+01      --  1.500000e+01      --   0.00   33.58   418940  |normal      1.498500e+01      --  1.500000e+01      --   0.10  840.00      495  |timelim     1.470000e+01      --  1.500000e+01      --   2.04  900.00    54659  |timelim     4.919939e+00      --  1.760000e+01      -- 257.73  904.45   418524  |timelim     1.470000e+01      --  1.500000e+01      --   2.04  900.50  4491804  |timelim     7.300000e+00      --  1.620000e+01      -- 121.92  900.02        0  |timelim     3.064000e+00      --  1.600000e+01      -- 422.19  900.21    85366  |
tloss                        49    48    54 min  1.630000e+01  1.630000e+01  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.77       28  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.12        0  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.10        1  |normal      1.628370e+01    0.10  1.630000e+01    0.00   0.10    0.00        1  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    1.32      216  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    3.44     2074  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.06        1  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.20        0  |normal      1.630000e+01    0.00  1.630000e+01    0.00   0.00    0.14       67  |
tltr                         49    48    55 min  4.806667e+01  4.806667e+01  |normal      4.806667e+01    0.00  4.806667e+01   -0.00   0.00    1.07       60  |normal      4.806667e+01    0.00  4.806667e+01   -0.00   0.00    0.09        0  |normal      4.806667e+01    0.00  4.806667e+01   -0.00   0.00    0.08       26  |normal      4.801860e+01    0.10  4.806667e+01   -0.00   0.10    0.00        2  |normal      4.801865e+01    0.10  4.806667e+01   -0.00   0.10    0.08        1  |normal      4.806667e+01    0.00  4.806667e+01   -0.00   0.00    1.98     4084  |normal      4.806667e+01    0.00  4.806667e+01   -0.00   0.00    0.07       21  |normal      4.806667e+01    0.00  4.806667e+01   -0.00   0.00    0.10        0  |normal      4.806667e+01    0.00  4.806667e+01   -0.00   0.00    0.11        1  |
unitcommit_200_0_5_mod_7  28143  4450 77777 min  3.129199e+07  3.372732e+07  |iterlim             -inf      --           inf      --    inf  828.10       57  |timelim     3.198039e+07      --           inf      --    inf 1011.05     7363  |timelim             -inf      --           inf      --    inf  900.56    14836  |error               -inf      --           inf      --    inf      --       -- !|timelim     3.149888e+07      --           inf      --    inf  900.08        0  |timelim     3.129164e+07      --           inf      --    inf  900.25      222  |normal      3.368107e+07      --  3.371210e+07      --   0.09   42.38        1  |--                    --      --            --      --     --      --       -- !|timelim     3.359924e+07      --           inf      --    inf  910.16        1  |
unitcommit_200_100_2_mod_735371  4492 69570 min  3.052811e+07  3.274700e+07  |iterlim             -inf      --           inf      --    inf  636.08      173  |timelim     3.078375e+07      --           inf      --    inf  950.67    19045  |timelim             -inf      --           inf      --    inf  900.62    15959  |error               -inf      --           inf      --    inf      --       -- !|timelim     3.063851e+07      --           inf      --    inf  900.04        0  |timelim             -inf      --           inf      --    inf  900.11       85  |normal      3.273437e+07      --  3.274391e+07      --   0.03  146.27     2269  |timelim     1.014041e+06      --           inf      --    inf  903.36        0  |timelim     3.272425e+07      --  3.276166e+07      --   0.11  900.12        1  |
util                        146    28   168 min  9.995788e+02  9.995788e+02  |normal      5.366453e+02   86.26  1.006353e+03    0.68  87.53    0.92        7  |normal      5.366453e+02   86.26  9.995788e+02    0.00  86.26    0.31      625  |normal      9.998889e+02   -0.03  9.998889e+02    0.03   0.00    0.10        1  |normal      9.991182e+02    0.05  1.000118e+03    0.05   0.10    0.00        0  |normal      9.989132e+02    0.07  9.999121e+02    0.03   0.10    0.07        1  |normal      9.995539e+02    0.00  9.999480e+02    0.04   0.04    0.79       28  |normal      9.995539e+02    0.00  1.000139e+03    0.06   0.06    0.03        7  |normal      1.000075e+03   -0.05  1.000493e+03    0.09   0.04    0.35        1  |normal      9.995539e+02    0.00  9.997997e+02    0.02   0.02    0.51        1  |
waste                      2485   400  1992 min  5.989192e+02  5.989192e+02  |normal      2.231830e+02  168.35  7.313860e+02   22.12 227.71  107.50      130  |normal      2.231830e+02  168.35  7.644792e+02   27.64 242.53   20.78        0  |timelim             -inf     inf  6.221152e+02    3.87    inf  900.56   580558  |normal      5.983203e+02    0.10  5.989192e+02    0.00   0.10   14.01        0  |timelim     4.640664e+02   29.06  6.135259e+02    2.44  32.21  900.00     8061  |timelim     2.478735e+02  141.62  9.557696e+02   59.58 285.59  903.79      316  |timelim     4.231854e+02   41.53  6.182233e+02    3.22  46.09  900.42   548642  |normal               inf     inf           inf     inf   0.00   60.08        1 !|timelim     3.288444e+02   82.13  6.103230e+02    1.90  85.60  900.00   407494  |
